param_id,name,symbol,units,value,uncertainty_type,uncertainty_value,subsystem,source_tier,citation,doi,extraction_method,species,sex,entered_by,date_entered,notes
BF.H2O.INSENSIBLE_LOSS,Insensible water loss,H2O_insens,L/day,0.8,none,,body-fluids,B,Convention pending primary source.,,assumed,human,both,sprint1,2026-08-08,"ASSUMED. Respiratory plus transepidermal, sedentary thermoneutral adult. Needs a primary source; varies strongly with ambient conditions and activity, so a single constant is a known simplification."
BF.ICF_ECF.OSMOTIC_TAU,Intracellular-extracellular osmotic equilibration time constant,tau_osm,min,30.0,none,,body-fluids,B,Convention pending primary source.,,assumed,human,both,sprint1,2026-08-08,"ASSUMED. Fast relative to every integrative timescale of interest. Per ADR 0002 this sits well SLOWER than baroreflex so it is not a candidate for the fast block; per ADR 0003 it is a Conservation-class coupling and must not be partitioned across. Sensitivity to this value should be near zero on multi-day runs - verify that in testing, and if it is not, the compartment structure is wrong."
BF.NA.STORAGE_TAU,Osmotically inactive sodium storage time constant,tau_store,day,7.0,none,,body-fluids,B,Rakova N et al. Cell Metab 2013;17(1):125-131.,10.1016/j.cmet.2012.11.013,assumed,human,both,sprint1,2026-08-08,"ASSUMED PLACEHOLDER, chosen to match the reported weekly infradian rhythm period rather than derived from it. Rakova et al report 7-day and monthly rhythmicity in Na+ balance; a first-order lag with tau = 7 d is the crudest structure that can produce retention and release on that scale. This is the single most important parameter to estimate properly against the Mars500 series. See ADR 0004."
CIRC.PERIOD,Circadian period,T,day,1.0,none,,neural,A,Circadian rhythms and the kidney. Nat Rev Nephrol 2018;14:626-635.,10.1038/s41581-018-0048-9,reported,human,both,sprint2,2026-08-08,Free-running human period is slightly over 24 h but entrained period is 24 h. This model has no entrainment mechanism (see Circadian.jl) so the entrained value is the correct one to use. If constant-routine or shift-work protocols are ever added this must become a free-running period with an entrainment path.
CIRC.RENAL_NA.AMPLITUDE,Relative amplitude of circadian modulation of renal sodium handling,A_renal,unitless,0.25,none,,renal,B,"Kanabrocki EL, Scheving LE, Olwin JH, et al. Circadian variation in the urinary excretion of electrolytes and trace elements in men. Am J Anat 1983;166(2):121-148.",,assumed,human,both,sprint2,2026-08-25,"STILL ASSUMED AT 0.25, AND NOW WITH THE CONFLICT RECORDED RATHER THAN A SINGLE SOURCE. A wide sweep of the circadian sodium literature found the amplitude genuinely contested. UPPER END: Kanabrocki 1983, 11 healthy adult males, 3-hourly urine over 27 h with cosinor analysis, found a statistically significant population rhythm for sodium and reported that for almost every element the increase from lowest to highest 3-hour group mean exceeded 100%. A peak-to-trough ratio of 2 corresponds to a cosinor amplitude of 0.33, and >100% is a lower bound, so this supports 0.33 or more. LOWER END: Peng 2021, 85 healthy Chinese adults, every voided specimen over 24 h with cosinor analysis, found URINARY SODIUM SHOWED NON-SIGNIFICANT PARAMETERS IN THE COSINOR MODEL and that the sodium rhythm was less significant than potassium. That is close to an amplitude of zero. 0.25 sits between them and is NOT a pooled estimate - pooling a significant and a non-significant result is not defensible. THE RHYTHM'S EXISTENCE IS BETTER SUPPORTED THAN ITS SIZE: see CIRC.RENAL_NA.ENDOGENEITY_MARKER. THE PROPER SOURCE HAS BEEN IDENTIFIED AND NOT YET OBTAINED - Minors and Waterhouse 1990 provide normative ENDOGENOUS urinary sodium data from about 80 constant routines, which is exactly the unmasked quantity this parameter should carry. Get it before trusting any circadian sodium result."
CIRC.RENAL_NA.ACROPHASE,Time of peak renal sodium excretion,acro_renal,day,0.33,none,,renal,B,"Ueno M, Kawasaki T, Uezono K, Omae T, Matsuoka M. Relationship of urinary kallikrein excretion to renal water and sodium excretion. Metabolism 1983;32(5):433-437.",PMC7400814,assumed,human,both,sprint2,2026-08-25,"STILL ASSUMED AT 0.33 day, AND THE ACROPHASE IS CONTESTED TOO - the two best cosinor studies found are nearly ANTIPHASE. Ueno 1983, 20 healthy Japanese women on an ordinary diet, cosinor: acrophase of urinary sodium excretion at 16:55, i.e. late afternoon, closely tracking urine volume at 16:51 (r = 0.935). Under this component's convention with a 07:00 active-period start that is 0.41 day. Peng 2021, 85 healthy Chinese adults, cosinor: sodium excretion had a NOCTURNAL PEAK falling to its lowest around noon to afternoon - roughly the opposite. 0.33 day (about 15:00) is retained as a placeholder consistent with Ueno and inconsistent with Peng. It is NOT a compromise between them; there is no defensible compromise between antiphase estimates. Resolve with the Minors and Waterhouse constant-routine normative data before this parameter is used for anything."
CIRC.CV_MAP.AMPLITUDE,"Endogenous circadian amplitude of mean arterial pressure, relative",A_cv,unitless,0.017,range,0.012545-0.021505,cardiovascular,A,"Shea SA, Hilton MF, Hu K, Scheer FAJL. Existence of an endogenous circadian blood pressure rhythm in humans that peaks in the evening. Circ Res 2011;108(8):980-984.",10.1161/CIRCRESAHA.110.233668,derived,human,both,sprint2,2026-08-25,"PRECISION: rounded to 2 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || REPLACES CIRC.CV_MAP.DIP_FRACTION = 0.15, WHICH WAS THE WRONG QUANTITY BY ABOUT NINE TIMES AND ALSO THE WRONG PHASE. That parameter encoded the 10-20% NOCTURNAL AMBULATORY DIP as though it were the endogenous circadian driver. It is not. Degaute 1991 (31 healthy young men, ambulatory BP with simultaneous polysomnography) found RECUMBENCY AND SLEEP ACCOUNT FOR 65-75% OF THE NOCTURNAL DECLINE, concluding that posture and the wake-sleep transition are the major factors in the 24-h BP rhythm. THE ENDOGENOUS COMPONENT IS REAL BUT SMALL. Shea 2011 measured it under three complementary protocols in 28 normotensive adults - a 38-h constant routine and forced desynchrony at 28-h and 20-h sleep/wake cycles - and found significant circadian rhythms in all three with almost identical profiles: peak-to-trough 3-6 mmHg systolic and 2-3 diastolic. Converting through MAP = DBP + (SBP-DBP)/3 gives 2.33-4.00 mmHg peak-to-trough, so a cosinor amplitude of 0.0125 to 0.0215 of MAP. Midpoint adopted, range carried. DERIVED because the MAP conversion is arithmetic on reported SBP and DBP, not a reported MAP amplitude. LIVE CONTROVERSY, RECORDED NOT RESOLVED: Kerkhof 1998 (25 normotensives, 26-h constant routine, stated power >0.95) found NO significant endogenous BP rhythm, and Van Dongen 2001 replicated that absence five times in six subjects. Shea's forced-desynchrony design separates circadian from behavioural influence more strongly than a constant routine alone and is followed here, but the disagreement is genuine and this parameter should be treated as the weakest in the cardiovascular arm."
CIRC.CV.ACROPHASE,Time of peak mean arterial pressure,acro_cv,day,0.583,none,,cardiovascular,A,"Shea SA, Hilton MF, Hu K, Scheer FAJL. Existence of an endogenous circadian blood pressure rhythm in humans that peaks in the evening. Circ Res 2011;108(8):980-984.",10.1161/CIRCRESAHA.110.233668,derived,human,both,sprint2,2026-08-25,"PRECISION: rounded to 3 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || WAS 0.25 day (13:00) AND ASSUMED. Shea 2011 reports that all six peaks - systolic and diastolic across three protocols - occurred at a circadian phase corresponding to approximately 21:00, the biological evening. Under this component's convention that phase 0 is the start of the active period, taken as 07:00 for humans, 21:00 is 14 h later = 0.583333 day. DERIVED only in that clock time is converted to the component's phase convention. NOTE WHAT THIS MEANS FOR THE MODEL: the ENDOGENOUS BP peak is in the EVENING, whereas the familiar ambulatory dip is NOCTURNAL. They are not the same rhythm and are not even in phase, which is the second reason the old dip-fraction parameterisation was wrong. Shea also reports the BP rhythm was unrelated in phase to those of cortisol, catecholamines, cardiac vagal modulation, heart rate or urine flow."
CIRC.EFFECTOR.TAU,Clock to effector transcriptional delay,tau_clock,s,3600.0,none,,neural,C,Recent advances in understanding the circadian clock in renal physiology. PMC6350809.,PMC6350809,assumed,human,both,sprint2,2026-08-08,"ASSUMED. The source describes Per1 as an early aldosterone target gene regulating ENaC, SGLT1, NHE3 and ET-1, and notes Per genes have short half-lives, but does not report an effector delay. 1 h is an order-of-magnitude placeholder. This is a Neurohumoral coupling tau per ADR 0003 and is what makes the clock safe to partition across. || CITATION FLAGGED 2026-08-25 BY AUDIT. This row cites a title and a PMC identifier with NO AUTHOR LIST and no DOI, and the title does not resolve on a PubMed title search. It must be replaced with a full citation - authors, journal, year, volume, pages - or removed. Until then the parameter should be treated as uncited, not as tier-supported."
CIRC.PER1.MECHANISM_MARKER,Clock gene mechanism evidence marker,-,unitless,1.0,none,,renal,C,Recent advances in understanding the circadian clock in renal physiology. PMC6350809.,PMC6350809,reported,mouse,both,sprint2,2026-08-08,"MARKER ROW - not a value. SPECIES: mouse. Per1 knockout mice under high salt plus DOCP lose the night/day difference in sodium excretion and the inactive-period BP dip. Recorded because the clock-gene MECHANISM is rodent-derived while the human circadian sodium rhythm and BP dipping are separately documented in humans. No scaling is applied because no numeric value is taken from this - the mechanism informs structure only. || CITATION FLAGGED 2026-08-25 BY AUDIT. This row cites a title and a PMC identifier with NO AUTHOR LIST and no DOI, and the title does not resolve on a PubMed title search. It must be replaced with a full citation - authors, journal, year, volume, pages - or removed. Until then the parameter should be treated as uncited, not as tier-supported."
CIRC.BMAL1.DISSOCIATION_MARKER,BP and sodium rhythm dissociation marker,-,unitless,1.0,none,,renal,A,"Johnston JG, Speed JS, Becker BK, Kasztan M, Soliman RH, Rhoads MK, Tao B, Jin C, et al. Diurnal control of blood pressure is uncoupled from sodium excretion. Hypertension 2020;75(6):1624-1634.",10.1161/HYPERTENSIONAHA.119.13908,reported,rat,both,sprint2,2026-08-25,"MARKER ROW - not a value. SPECIES: rat, whole-body Bmal1 knockout. Male knockouts showed no significant difference in baseline sodium excretion between 12-h active and inactive periods while circadian MAP rhythm remained intact. This is the evidence for independent renal and cardiovascular clock arms in Circadian.jl. No scaling applied - structural evidence only, no numeric value taken. || CITATION CORRECTED 2026-08-25 BY AUDIT. The row carried the title and journal with NO AUTHOR LIST, which is the exact shape that let a misattribution survive two sessions on PMID 2966064. Resolved via Crossref on the recorded DOI: first author Johnston JG, and the year is 2020, NOT 2019 - the .119. in the DOI is the submission-year convention and is misleading."
RN.GFR.NOMINAL,Glomerular filtration rate nominal,GFR0,L/day,180.0,sd,25.0,renal,B,Standard physiological reference. VERIFY.,,reported,human,both,sprint2,2026-08-08,"125 mL/min = 180 L/day, conventional nominal adult value. Tier B pending a citable primary source; the value itself is textbook-level E1 but its provenance here is convention."
RN.NA.FRACTIONAL_REABSORPTION,Fractional tubular sodium reabsorption at nominal pressure,FR_Na,unitless,0.9918651,none,,renal,B,Standard physiological reference. VERIFY.,,derived,human,both,sprint2,2026-08-08,"SIGNIFICANT FIGURES APPLY TO THE QUANTITY THAT CARRIES THE INFORMATION, WHICH HERE IS 1 - FR_Na, NOT FR_Na. This row was rounded to 4 significant figures (0.9919) on 2026-08-27 with everything else and immediately broke sodium balance: excretion 204.12 against intake 205, a 0.43% drift, because the excreted fraction is 0.0081 and four figures on FR_Na leaves only two on the difference. Restored to 0.9918651. A small difference of two large numbers needs enough digits on the large numbers to leave the difference meaningful - that is not false precision, it is the arithmetic. This is the same failure recorded in the header of tools/check_closure.py, where rounding this row to 0.9915 gave 214.2 against 205. || PRECISION: rounded to 4 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || DERIVED to close the loop at nominal: filtered load = 180 L/day x 140 mEq/L = 25200 mEq/day; excretion must equal intake of 205 mEq/day at steady state, so FR = 1 - 205/25200 = 0.9918651. NOT rounded - rounding to 0.9915 gave excretion of 214.2 vs intake 205, a 9.2 mEq/day drift that ran the model to a lethal state while reporting Success. This is NOT an independent measurement - it is fixed by the other three values, and that dependency must be preserved if any of them changes."
RN.PRESSURE_NATRIURESIS.SLOPE,Pressure natriuresis slope,G_pn,(mEq/day)/mmHg,20.0,range,5.43-20.0,renal,B,"Guyton AC, Coleman TG, Granger HJ. Circulation: overall regulation. Annu Rev Physiol 1972;34:13-46.",10.1146/annurev.ph.34.030172.000305,calibrated,human,both,sprint2,2026-08-08,"CALIBRATED, not measured. VALUE UNCHANGED AT 20.0 - read the identifiability result below before altering it. Originating model: Guyton 1972 systems analysis; the EXISTENCE and steepness of pressure natriuresis is E1 and well replicated, this particular slope is a fitted constant that propagated through the modelling literature. FORM: LINEAR, AND NOW SOURCED. Roman RJ, Cowley AW Jr, Am J Physiol 1985, PMID 3970209 (rat, denervated, vasopressin/aldosterone/corticosterone/noradrenaline clamped) report the relation as the slope of a LINE, 2 uL/min/kidney/mmHg over RPP 90-160 mmHg. Osborn/Francisco/DiBona, Proc Soc Exp Biol Med 1981, independently report UNaV falling LINEARLY over dog RPP 137-55 mmHg. An earlier note in relations.csv called the curve 'markedly nonlinear'; that was asserted from memory and is RETRACTED. VALIDITY RANGE roughly 55-160 mmHg. RN.AUTOREG.UPPER was 180, outside that range; moved to 160 on 2026-08-21 and cited to the same paper. MAGNITUDE CROSS-CHECK: Mizelle HL et al, Hypertension 1993;22:102-110 (dog, split bladder, bilateral servo-control, 12 d - the cleanest isolation of pressure per se) gives 3.468 mmol/day/mmHg whole animal = 2.154e-4 of filtered load per mmHg against this row's 7.937e-4, so the calibrated value is 3.68x STEEPER than the animal datum on a scaling-free basis. That is the range in uncertainty_value; 5.43 is the Mizelle-consistent value. SINGLE SOURCE, k=1, DOG - per validation/pooling.md that is animal-derived, may not be pooled with a human value, and is recorded as a comparator rather than adopted. IDENTIFIABILITY (measured 2026-08-20 on IPE at 9a6fa42): this parameter ALONE fixes the model's salt sensitivity. At steady state excretion equals intake, so Na_excr = Na_filtered*(1-FR_Na) + G_pn*(MAP-MAP_ref) gives dMAP ~ d(intake)/G_pn, in which CV.VENOUS_RETURN.SENSITIVITY does not appear. Confirmed numerically: the 205->103 mEq/day step gives 4.934 mmHg at G_pn=20.0 and 15.698 mmHg at G_pn=5.43, while varying G_vr over 2880->600 at fixed G_pn=5.43 moves the shift only 15.698->12.403 and drives V_ecf to 9.889 L, below the 10 L floor asserted in test/runtests.jl. The residual departure from an exact 1/G_pn law is C_Na drift. CONSEQUENCE, correcting HANDOVER.md section 5 item 4: G_pn and G_vr are NOT jointly identified as one lumped loop gain. G_pn is identified by the salt-sensitivity shift and G_vr by ECF volume, separately. Adopting the Mizelle value in isolation re-balances nothing - it forces a 15.7 mmHg shift across a 102 mEq/day range, which is salt-sensitive-hypertensive behaviour, not normotensive. WHY THE GAP IS PROBABLY REAL RATHER THAN AN ERROR: IPE has NO volume-sensing natriuretic path. Seeliger et al, J Physiol 2004;559:939-951, servo-controlled RPP during saline loading in freely moving dogs with NO reduction in peak or cumulative natriuresis, and Bie 2018 (10.1152/ajpregu.00363.2017) argues excretion is keyed to extracellular volume rather than pressure. With ANP absent, all sodium regulation is forced through this one term, so an inflated G_pn is the expected COMPENSATION for the missing path. DO NOT lower this to 5.43 before a volume-sensing natriuretic path exists - doing so degrades the only behaviour the model has ever reproduced. Re-estimate G_pn and the ANP gain JOINTLY against digitised Mars500, as posteriors, not this value alone and not as a point value."
RN.AUTOREG.LOWER,Lower limit of renal autoregulation,MAP_lo,mmHg,63.9,none,,renal,A,"Finke R, Gross R, Hackenthal E, Huber J, Kirchheim HR. Threshold pressure for the pressure-dependent renin release in the autoregulating kidney of conscious dogs. Pflugers Arch 1983;399(2):102-110. PMID 6139786. Lower limit of renal blood flow autoregulation, measured directly by servo-controlled stepwise reduction of renal artery pressure in the conscious animal.",,reported,dog,both,sprint2,2026-08-27,"VALUE CHANGED 80.0 -> 63.9 mmHg ON 2026-08-27, AND SPECIES CORRECTED human -> dog. The previous value was NOT SOURCED: citation read 'Standard physiological reference. VERIFY.', which is not a reference, and species read 'human', which was not supported. This row was the last of the seven rows carrying that identical non-citation to be flagged as genuine debt rather than discharged, and HANDOVER 3.1 named it the one to look at first because CV.MAP.SETPOINT moved 93 -> 87 on the same day, carrying the operating point TOWARD this breakpoint. PRE-REGISTERED EXTRACTION: validation/autoreg_lower_prereg.md, committed at 3fbe260 BEFORE any paper was opened; executed by validation/autoreg_lower_extract.py. 26 PubMed queries in two sweeps, 1114 unique records screened. POOLING RULE, DECLARED BEFORE EXTRACTION per validation/pooling.md: single-source, n_studies k=1. No cross-species pooling was performed and no range midpoint was taken; both are prohibited for new entries. BRANCH 7 OF THE PRE-REGISTERED PROCEDURE WAS TAKEN. Branches 1-5 fail: NO human primary study reports a numeric lower breakpoint. The one that appears to - Textor SC et al, Ann Intern Med 1985;102(3):308-314, 'Critical perfusion pressure for renal function' - measures a STENOSIS threshold in bilateral atherosclerotic renovascular disease, not the intrinsic breakpoint of a normal kidney, and the sensitivity disappeared after revascularisation. Branch 6 fails too, and that is the finding of this pass: THE HUMAN EVIDENCE CONFLICTS AT THE SAME PRESSURE. At MAP 60 mmHg, Lessard MR and Trepanier CA, Anesthesiology 1991;74(5):860-865 (n=20, GFR by inulin, ERPF by PAH, MAP 59.8 +/- 0.4 for 237 min) found GFR not significantly further reduced and renal vascular resistance FALLING to maintain renal blood flow - the autoregulatory signature; while Hara T et al, J Clin Anesth 1998;10(7):539-545 (n=26, MAP 60 for 120 min) found creatinine clearance SIGNIFICANTLY DECREASED in both arms. Lessard is the methodologically stronger study, but choosing it after seeing both is precisely what pre-registration forbids, so branch 6's condition - that human studies ESTABLISH preservation - genuinely fails on its own terms. There is no lower pressure where the human evidence is unconflicted either: at MAP 50, Zayas VM et al, Am J Physiol 1993;265(5 Pt 2):F686-F692 and Toivonen J et al, Eur J Anaesthesiol 1991;8(1):13-20 both report renal function falling. ALL FOUR HUMAN STUDIES ARE ANAESTHESIA SAFETY STUDIES and directive 1.7 predicts what they returned: apply the test - had the physiology come out differently, the conclusion would have been 'this hypotensive technique is unsafe for the kidney'. The pressure-flow relationship is the INSTRUMENT there, not the subject, and every one of them carries a confound (volatile anaesthetic, sympathetic blockade, vasodilator, or all three), with anaesthesia depressing GFR before any pressure was lowered. THE ADOPTED SOURCE IS THE OPPOSITE KIND OF STUDY. Finke 1983 varied renal artery pressure from 160 to 40 mmHg in seven CONSCIOUS foxhounds under beta-blockade on a normal sodium diet (4.1 mmol/kg/day), reducing it in steps held constant by a servo-control system driving an inflatable renal artery cuff. Between 160 mmHg and resting pressure renal blood flow did not change; between resting pressure and the lower limit of autoregulation, average 63.9 mmHg, it rose only about 7%. The relationship IS the subject. No standard deviation is reported for the limit itself, so uncertainty_type stays none rather than inventing one - the paper does report 89.8 +/- 3.3 mmHg for its separate renin threshold, so the omission is the authors' and not a transcription loss. DECLARED CONFLICTS, LOGGED AND NOT RESOLVED. (1) Shipley RE, Study RS, Am J Physiol 1951;167(3):676-688, PMID 14903093 - the ANAESTHETISED dog study that is the origin of the textbook 80-180 and therefore of the value this row carried; its PubMed record carries the MeSH term 'Humans', a legacy-indexing artefact of the AJP back catalogue already flagged in autoreg_upper_prereg.md. Anaesthesia is the most likely single explanation of 80 vs 63.9. (2) Cupples WA, Braam B, Am J Physiol Renal Physiol 2007;292(4):F1105-F1123, PMID 17229679 - a tier B review putting the limit at ~75 mmHg in dog and ~85 in rat. pooling.md: the primary source wins and the divergence is logged. Averaging 75 and 85 would produce a number describing neither species. (3) The 2025 human review already cited in this row's previous note (doi 10.22514/sv.2025.001) holds that human evidence is insufficient for 80 as the lower limit; this extraction agrees and goes further - the human evidence that does exist puts the limit near 60. THE BRANCH CHOICE IS NOT LOAD-BEARING: branch 6 would have given 59.8 and branch 7 gives 63.9, a 4.1 mmHg difference, and no conclusion depends on which. Two independent lines - conscious dog with a measured breakpoint, anaesthetised humans bracketing 50 to 60 - different species, designs, decades and authors, both land near 60. NEITHER SUPPORTS 80. NO MODEL RESULT CHANGES. The three salt arms sit at MAP 81.900 / 84.450 / 87.001 mmHg, above the old 80 and above the new 63.9, so all remain on the autoregulation plateau and every steady state is bit-identical. The pre-registration declared this BEFORE extraction so that 'it does not change the answer' could not wave the change through, and so that a value above ~81.9 would have had to be escalated rather than quietly avoided. WHAT CHANGES IS MARGIN: the low-salt arm sat 1.9 mmHg above a piecewise kink and now sits 18.0 mmHg above it. STILL DEBT, AND THE REASON IS FIXED IN THE PRE-REGISTRATION. This is a dog number and the human experiment IS performable - humans have repeatedly been taken to 50-60 mmHg. The ethical-ceiling argument that earns RN.AUTOREG.UPPER its E2 standing under the ADR 0006 amendment does NOT transfer to this row, and was ruled out in the pre-registration before the search so it could not be reached for afterwards. What is missing is a study that lowers pressure in humans WITHOUT general anaesthesia and measures GFR by inulin at graded steps. Debt with a named primary source is a real improvement on a non-citation; it is not a closure. SEPARATELY, AND OUT OF SCOPE: Finke 1983 also measured the renin release threshold at 89.8 +/- 3.3 mmHg in conscious dog, against RAAS.RENIN.PRESSURE_THRESHOLD = 93.0 currently carried on van Ochten. NOT CHANGED HERE. Recorded because that row is the rectification point HANDOVER 3.1 found the model sitting exactly on, and a second independent primary source for it now exists in a paper this repo has read. THE PIECEWISE FORM REMAINS UNSOURCED: relations.csv row Renal.GFR keeps an empty form_citation and stays in GRANDFATHERED_UNSOURCED. A NUMBER was sourced, not an EQUATION. Finke in fact reports renal blood flow rising ~7% below resting pressure rather than staying flat, so the true plateau has a slight slope the model's ifelse does not represent."
